topicId,topicName,visibility,summaries
c680ypkezxlt,Zennor,TRUE,6
ck7rdn2x6mwt,Zelah,TRUE,7
cllmrkzwg60t,Zeals,TRUE,0
cgmxjyd175pt,Zeal Monachorum,TRUE,0
c1kr68g27x8t,Ythsie,TRUE,1
cn1mzlje6y8t,Ystradowen,TRUE,0
cxrlk4ywjm8t,Ystrad Mynach,TRUE,1
c90ek8r5yx0t,Ystrad-Meurig,TRUE,0
c7yjn8g60xxt,Ystradgynlais,TRUE,0
cp29jzedn06t,Ystrad-ffin,TRUE,0
c8zwn8k9jxgt,Ystradfellte,TRUE,1
cy4ngm8yw6kt,Ystalyfera,TRUE,0
c27968gykxnt,Ysbyty Ystwyth,TRUE,0
c0n168gwkpwt,Ysbyty Ifan,TRUE,0
cjkm56d0g21t,Ysbyty Cynfyn,TRUE,0
cerlz5dg64nt,Yoxford,TRUE,0
cwdnmry50ket,Yoxall,TRUE,1
czm9g685eyzt,Youlgreave,TRUE,3
c51z9ypg2j4t,Yorton,TRUE,3
cp7r8vgl2wgt,York,TRUE,11
cdd52egwlrgt,Yokefleet,TRUE,1
cr0mejz74ymt,Yockleton,TRUE,1
c680ypkezwlt,Yiewsley,TRUE,5
c7yjn8g60ext,Yetminster,TRUE,4
cn1mzlje6w8t,Yetlington,TRUE,0
cgmxjyd176pt,Yerbeston,TRUE,0
c8zwn8k9j5gt,Yeovilton,TRUE,4
cxrlk4ywj28t,Yeovil,TRUE,4
cy4ngm8ywzkt,Yeoford,TRUE,0
c90ek8r5yd0t,Yelverton,TRUE,1
czm9g685e1zt,Yelverton,TRUE,0
c27968gyk2nt,Yelvertoft,TRUE,0
cjkm56d0gx1t,Yelling,TRUE,0
cwdnmry509et,Yelford,TRUE,1
cdd52egwlpgt,Yelden,TRUE,0
c51z9ypg2e4t,Yedingham,TRUE,0
c4y268p9kwkt,Yeaveley,TRUE,1
c680ypkez5lt,Yearby,TRUE,2
cmgm2706412t,Yealmpton,TRUE,1
cr0mejz741mt,Yeadon,TRUE,8
cn1mzlje6p8t,Yazor,TRUE,0
cgmxjyd17ppt,Yaxley,TRUE,10
c7yjn8g60dxt,Yaxley,TRUE,1
c8zwn8k9jrgt,Yaxham,TRUE,1
c1kr68g27z8t,Yatton Keynell,TRUE,3
cllmrkzwg10t,Yatton,TRUE,1
cp29jzedn16t,Yatton,TRUE,6
c90ek8r5y40t,Yatesbury,TRUE,1
c27968gyk0nt,Yate,TRUE,0
cy4ngm8yw1kt,Yarrow,TRUE,1
czm9g685e6zt,Yarpole,TRUE,2
cjkm56d0g61t,Yarnton,TRUE,31
c0n168gwk8wt,Yarmouth,TRUE,0
c51z9ypg2y4t,Yarm,TRUE,6
cerlz5dg65nt,Yarlington,TRUE,1
cwdnmry50ret,Yardley Hastings,TRUE,1
cdd52egwlegt,Yardley,TRUE,59
cr0mejz74jmt,Yarcombe,TRUE,0
c4y268p9k8kt,Yarburgh,TRUE,0
cmgm2706472t,Yapton,TRUE,1
cn1mzlje6l8t,Yanworth,TRUE,0
c680ypkezplt,Yalding,TRUE,3
ck7rdn2x6nwt,Yafforth,TRUE,0
c7yjn8g608xt,Wyverstone,TRUE,1
c1kr68g2788t,Wyton,TRUE,1
c8zwn8k9j8gt,Wyton,TRUE,5
cp29jzednz6t,Wythenshawe,TRUE,18
c90ek8r5y80t,Wythburn,TRUE,0
cxrlk4ywj48t,Wytham,TRUE,32
czm9g685exzt,Wysall,TRUE,1
c8zwn8k9jz2t,Wraysbury,TRUE,9
c27968gyk8nt,Wynnstay,TRUE,0
cjkm56d0gl1t,Wymondham,TRUE,0
c0n168gwkywt,Wymondham,TRUE,1
cwdnmry50xet,Wymington,TRUE,5
c51z9ypg2k4t,Wymeswold,TRUE,6
c27968gykm9t,Wylye,TRUE,0
cdd52egwl4gt,Wylde Green,TRUE,4
cjkm56d0glrt,Wylam,TRUE,2
cwdnmry50xpt,Wyke Regis,TRUE,4
c0n168gwky6t,Wyken,TRUE,36
czm9g685exet,Wykeham,TRUE,0
c51z9ypg2kxt,Wyke,TRUE,24
c4y268p9kn8t,Wye,TRUE,2
cmgm27064xxt,Wyddial,TRUE,0
c680ypkez7dt,Wycliffe,TRUE,0
cr0mejz74x1t,Wyck Rissington,TRUE,0
c7yjn8g60lmt,Wych Cross,TRUE,0
cllmrkzwgx8t,Wybunbury,TRUE,4
